# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = samples2.csv
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.661107
# Diagonal elements of inverse mass matrix:
# 2.64872e-05, 1.892e-05, 1.82831e-05, 1.75439e-05, 1.89371e-05, 1.79543e-05, 1.93728e-05, 1.85954e-05, 1.76511e-05, 1.80905e-05, 1.9649e-05, 1.92088e-05, 1.82604e-05, 1.82758e-05, 2.10668e-05, 1.86719e-05, 1.7474e-05, 1.68221e-05, 1.95324e-05, 1.97504e-05
-15.8239,0.264829,0.661107,1,1.00585,0.00240512,0.505123,0.00373242,0.000711574,-0.00184398,0.00398479,-0.000558435,-0.00470731,-0.00212905,-0.00128032,-0.000670881,0.000544351,-0.00156162,-0.000867011,-0.00192914,-0.0019036,0.0016591,0.00232942,-0.0017237
-16.1138,0.768663,0.661107,1,0.998429,-0.00293923,0.49478,-0.00066025,-0.00186549,0.00212687,-0.00336591,-0.000667085,0.00603919,0.00373406,0.00168156,0.0011914,-0.000334667,0.00143781,0.000807589,0.00124613,0.0034831,-0.00257814,-0.00131066,0.00174291
-16.1138,0.532412,0.661107,1,0.998429,-0.00293923,0.49478,-0.00066025,-0.00186549,0.00212687,-0.00336591,-0.000667085,0.00603919,0.00373406,0.00168156,0.0011914,-0.000334667,0.00143781,0.000807589,0.00124613,0.0034831,-0.00257814,-0.00131066,0.00174291
-17.842,0.531775,0.661107,1,0.997835,0.00478711,0.497006,7.0515e-05,-0.000413526,0.0025907,-0.00211305,-0.000320872,0.00591856,0.0015077,0.000672311,0.000338412,-0.000637847,-0.00191369,0.00398222,0.00122227,0.00554896,0.00572466,0.000498391,-0.0024547
-16.0717,0.818309,0.661107,1,1.00623,0.00173662,0.49899,0.000993166,0.0018809,-0.00117095,0.00487869,0.00124003,0.000606425,-0.0026513,-0.000805312,0.0013736,0.000571457,0.00109845,-0.000522242,-0.0064806,6.12147e-05,0.00138348,0.0026558,-0.0046442
-16.0717,0.142095,0.661107,1,1.00623,0.00173662,0.49899,0.000993166,0.0018809,-0.00117095,0.00487869,0.00124003,0.000606425,-0.0026513,-0.000805312,0.0013736,0.000571457,0.00109845,-0.000522242,-0.0064806,6.12147e-05,0.00138348,0.0026558,-0.0046442
-17.902,0.401849,0.661107,1,0.997511,-0.00205858,0.502347,-0.00218678,-0.00200474,0.000546472,-0.00474527,-0.00308764,-0.00373521,0.00360161,0.00113455,-0.00144023,-0.00286862,-0.00105474,0.000404377,0.00488467,-0.00228718,-8.46665e-05,-0.00372124,0.00621148
-18.526,0.825077,0.661107,1,1.00122,-0.00339345,0.503438,0.000262507,0.00224445,-0.00257049,-0.00080856,-0.00150162,0.000751028,-0.00160867,-0.00100704,0.00729931,0.00516882,0.00153465,0.00109228,0.00401993,-0.000545064,0.00268428,0.00502736,-0.00360562
-19.1104,0.855948,0.661107,1,1.00401,0.00456858,0.497652,-8.48609e-05,-0.00222185,0.00421986,0.000362119,0.00107203,-0.00255696,0.000109212,0.00239412,-0.00617291,-0.00553116,-0.000767253,-7.01204e-05,-0.00378943,0.00129657,-0.00256232,-0.00525993,0.00302021
-24.3299,0.255798,0.661107,1,1.00122,0.00647902,0.497204,-0.00538628,-0.00244637,0.00351385,0.00239491,-0.00672753,-0.00829782,-0.0010534,-0.00528449,-0.00184329,0.0004073,-0.00110385,-0.0048264,-0.00013644,0.00146577,-0.00355267,-0.00326012,0.00180437
-25.0315,0.747649,0.661107,1,1.0036,-0.00515171,0.496881,-0.00360424,0.00230697,0.00441373,0.000272945,0.00781312,0.00717431,0.000124508,0.0076322,0.00230023,0.002403,0.0036272,0.00533903,-0.000779955,-0.00216555,-0.00203814,0.00188308,0.00127724
-15.807,1,0.661107,1,1.00103,-0.00317534,0.500429,0.00196585,0.00456051,0.00337417,0.00244041,0.00381738,0.00349728,0.0045373,0.00112205,-0.00178041,0.00211645,0.000238258,-0.00014046,-0.00205728,-0.00275974,-0.0019775,0.00186494,0.00237371
-12.8636,0.769035,0.661107,1,1.00314,0.00251195,0.500823,0.000622863,-0.00362707,-0.000422549,-0.00213505,-0.000996805,-0.00116209,-0.00462348,-0.000900972,0.0022365,-0.00102154,-0.000465861,-9.45232e-05,0.00290956,0.00112925,0.000611957,-0.000569492,-0.00178607
-16.7965,0.683288,0.661107,1,1.00616,-0.000161786,0.497968,0.00394942,0.00196654,0.00187495,-0.000517346,-2.05166e-05,0.00455669,-0.00112728,0.00442793,-0.0011828,0.00339585,-0.00439563,0.000880247,-0.00166397,-0.00334884,0.000446382,0.00371579,0.00215956
-16.0094,1,0.661107,1,0.996414,-0.000509718,0.503393,-0.00382901,-0.00246185,-0.00056401,0.00110893,0.000218606,-0.00284905,0.00148781,-0.00445366,0.00157559,-0.00337593,0.00342976,-0.000992818,0.00178662,0.00321419,-0.00245548,-0.00379708,-0.00247753
-16.1933,0.598144,0.661107,1,0.994161,0.00251136,0.501777,-0.00300956,-0.00285992,-0.00311014,-0.00221984,-0.00457089,0.00220144,0.00141278,-8.007e-05,-6.65752e-05,0.000428554,0.00237424,0.00342826,-0.00331123,0.00182682,-0.00126408,-0.000232828,0.00466051
-17.4586,0.866276,0.661107,1,1.00091,0.00196529,0.499835,-0.00261827,-0.00286871,-0.0033937,-0.00278725,-0.00438893,0.00210341,0.00352482,-0.00346498,-0.00671947,-0.00228547,0.00268308,0.00240847,-0.00276964,0.00100187,0.000530038,0.00126126,0.00238564
-17.7384,0.89948,0.661107,1,0.999756,-0.00305456,0.500984,0.00448768,0.00115869,0.00267394,0.00288602,0.00537688,-0.00201399,-0.00506329,0.00280216,0.00588826,0.00115648,-0.00125593,-0.00181067,0.00365711,0.000266294,-0.000393649,-0.00170026,-0.00120475
-17.37,0.41752,0.661107,1,1.002,0.00167614,0.499244,0.00422808,-0.00318567,0.00626457,0.00363057,0.000736818,0.00415862,0.000431017,-0.000868283,0.00472004,-0.00179902,5.11141e-05,0.000935198,0.000203771,-0.00192739,-0.00347712,0.00267544,0.00336493
-20.5366,0.540988,0.661107,1,0.999351,0.000494926,0.503954,0.00637136,-0.00465651,0.00232067,0.000908048,-0.00399701,0.00035465,0.00627135,-0.000304068,0.00106698,-0.00245458,0.00136243,0.0014746,0.00108908,-0.00364011,-0.0034951,0.00692988,0.00159052
-16.4424,0.683482,0.661107,1,1.00454,0.00620753,0.499956,-0.000823066,-0.00212824,0.00489764,0.00284169,0.00234012,0.00203711,0.00312577,-0.0044732,-0.000926185,-0.000905464,0.00209443,0.000807785,0.0020736,0.00106088,-0.00281728,-9.17986e-05,0.00104053
-16.4424,0.500616,0.661107,1,1.00454,0.00620753,0.499956,-0.000823066,-0.00212824,0.00489764,0.00284169,0.00234012,0.00203711,0.00312577,-0.0044732,-0.000926185,-0.000905464,0.00209443,0.000807785,0.0020736,0.00106088,-0.00281728,-9.17986e-05,0.00104053
-17.4996,0.603968,0.661107,1,0.995029,-0.0049433,0.49944,0.00214073,0.00197743,-0.00579311,-0.00347568,-0.00302828,-0.00257478,-0.00251938,0.00480199,-0.000855797,0.000654544,-0.000788927,-0.00186278,-0.0013701,-0.000142411,0.00442475,-0.00140547,-0.00141845
-14.8344,0.939785,0.661107,1,0.99801,-0.00306407,0.496029,0.00228487,-0.00257032,0.00536823,0.00155486,-0.000219386,-0.00362589,0.000271776,0.000888892,-0.00156356,-0.000939389,-0.000737506,0.000346192,0.00092926,-0.00427549,-0.00247893,-0.000366747,-0.000546644
-16.4083,0.562258,0.661107,1,1.00076,-0.00142909,0.496235,0.00388518,0.00379365,0.00215385,0.003674,0.00136359,-0.00131852,0.000180028,-0.00500755,0.00407529,0.00134549,-0.00161851,-0.00257313,-0.000200619,-0.00398851,-0.00292394,0.000279056,-0.000757435
-15.6219,0.93256,0.661107,1,1.00252,0.000683313,0.49912,-0.00125169,-0.00128356,-0.00587701,-0.00168148,0.00140334,0.00118315,-0.00056375,0.00413771,-0.000599499,-0.00141854,-0.00153856,-9.4201e-06,0.000674553,0.00540723,-0.00118678,-0.00530095,-0.000191683
