# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = samples1.csv
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.61836
# Diagonal elements of inverse mass matrix:
# 3.06503e-05, 1.87411e-05, 1.82214e-05, 1.9367e-05, 1.75687e-05, 1.79417e-05, 1.85766e-05, 1.71008e-05, 1.78998e-05, 1.8197e-05, 1.80118e-05, 1.84563e-05, 1.76082e-05, 1.97985e-05, 1.83527e-05, 1.77114e-05, 1.91191e-05, 1.80711e-05, 1.73836e-05, 1.78903e-05
-36.2481,0.277524,0.61836,1,1.01038,-0.00100647,0.499623,-0.00113058,-0.003486,-0.00830957,0.00660346,-0.00107869,0.0014432,-0.00236547,0.006166,-0.000945051,-0.00839024,-0.00107085,-0.000832832,0.00384701,-0.00151694,0.00170173,-0.00628924,0.0134815
-29.1239,1,0.61836,1,1.00116,0.00324469,0.50244,0.00233328,0.0013492,0.00866121,-0.00449282,0.00132985,-0.00237427,0.000852427,-0.00368074,0.00144758,0.00417475,0.00395996,-0.00257735,-0.00305322,0.000414672,-0.00320597,0.00598349,-0.0127008
-21.6792,1,0.61836,1,1.00173,-0.00255334,0.498279,-0.00377208,-0.00327753,-0.00494633,0.00270242,0.000201412,0.00217043,-0.00128565,0.000269672,-0.000504171,-0.0045679,-0.00415556,0.00334585,0.00125363,-0.00289096,0.00496311,0.00102482,0.00957232
-21.1053,0.947064,0.61836,1,1.00145,0.00159923,0.500875,-0.000902621,0.0018868,0.00518426,-0.00389581,-0.00289512,-0.00174643,0.00110498,-0.0016505,0.0028485,0.00666532,0.00392211,-0.00164127,1.44773e-05,0.00346344,-0.00472149,0.00408092,-0.00721053
-21.4116,0.97156,0.61836,1,0.997253,0.00071264,0.499449,0.00252464,0.000621307,0.00846496,-0.0040973,0.000537741,0.00201971,8.36859e-05,-0.00183083,0.00564626,0.00220521,0.00204316,0.00124532,0.00076652,0.0011363,-0.0080701,0.00224563,-0.00489071
-16.7381,1,0.61836,1,1.00405,0.00082058,0.498506,-0.00180625,0.00019464,-0.00448999,0.00382885,0.00125108,-0.00267355,-0.00320044,0.00285223,-0.00461112,-0.000994425,-0.000519655,-0.000783284,-0.00138557,-0.00241914,0.00638781,-0.00117234,0.00164297
-16.7381,0.709568,0.61836,1,1.00405,0.00082058,0.498506,-0.00180625,0.00019464,-0.00448999,0.00382885,0.00125108,-0.00267355,-0.00320044,0.00285223,-0.00461112,-0.000994425,-0.000519655,-0.000783284,-0.00138557,-0.00241914,0.00638781,-0.00117234,0.00164297
-17.4957,0.202199,0.61836,1,0.998817,-0.00251985,0.496661,0.00592473,-0.00469772,0.000153186,0.00208798,0.00445761,-0.000850884,-0.00332215,-0.00127424,-0.00193173,0.00595835,-0.00060153,0.00178236,0.00186357,0.00175417,0.00203964,-0.000222855,0.00103582
-16.8557,1,0.61836,1,1.00965,0.00127194,0.502518,0.00385031,0.00120162,-0.000276592,0.000454533,0.000150866,-0.00132385,0.00432295,0.000442042,0.00034057,0.000632611,-0.00492478,-0.00429276,0.0029809,-0.000334661,-8.38266e-05,-0.00304955,0.00120989
